Name,Wilcoxon_FDR,Wilcoxon_nominal,limma_FDR,limma_nominal,PLSDA_VIP
Pc(17:3_20:1),0,0,0,0,1
D-(-)-Mannitol,0,0,0,0,1
S-Adenosyl-L-Homocysteine,0,0,0,0,1
Adenosine,0,0,0,0,1
Adenosine 5'-Diphosphate,0,0,0,0,1
Biotin,0,0,0,0,1
Spongouridin,0,0,0,0,1
Pa(18:1_20:0),0,0,0,0,1
L-(-)-Methionine,0,0,0,0,1
Ppg N5,0,0,0,0,1
Cl(18:0_17:1cho_22:4_22:4),0,0,0,0,1
Hexanoylcarnitine,0,0,0,0,1
Ps(18:2_22:4),0,0,0,0,1
Triethylene Glycol Monobutyl Ether,0,0,0,0,1
Citroflex 4,0,0,0,0,1
N-Acetyl-L-Valine,0,0,0,0,1
S-Adenosylmethionine,0,0,0,0,1
Uridine 5'-Triphosphate Sodium Salt,0,0,0,0,1
Arachidonic Acid,0,0,0,0,1
N-Methylcyclohexylamine,0,0,0,0,1
O-Phosphocolamine,0,0,0,0,1
Pc(36:6_13:4cooh),0,0,0,0,1
L-Threonic Acid Calcium Salt,0,0,0,0,1
Pe(19:1cooh_28:3),0,0,0,0,1
5-Methyl D-Glutamate,0,0,0,0,1
Guanosine,0,0,0,0,1
Cl(12:0cooh_22:0_24:1_21:2),0,0,0,0,1
Sqdg(2:0_28:0),0,0,0,0,1
(R)-Pantetheine,0,0,0,0,1
Methyl Dihydrogen Phosphate,0,0,0,0,1
"8z,11z,14z-Eicosatrienoic Acid",0,0,0,0,1
Adenosine Triphosphate (Atp),0,0,0,0,1
Pe(20:5_22:2),0,0,0,0,1
Pc(15:2cho_22:2),0,0,0,0,1
"N2-[5-Phenyl-4-(Trifluoromethyl)-1,3-Thiazol-2-Yl]Thiophene-2-Carboxamide",0,0,0,0,1
L-Ergothioneine,0,0,0,0,1
Dibenzoylmethane,0,0,0,0,1
Pe 16:0_18:1,0,0,0,0,1
Triethyleneglycol Bis(2-Ethylhexanoate),0,0,0,0,1
Pe(19:4_19:4),0,0,0,0,1
Ps(22:3_24:7),0,0,0,0,1
Sphp(D16:2),0,0,0,0,1
Lpe 38:6,0,0,0,0,1
1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,0,0,0,0,1
Acetyl-Β-Methylcholine,0,0,0,0,1
Pc(20:2_21:4),0,0,0,0,1
Pc(21:2cho_19:4),0,0,0,0,1
Lpe 24:4,0,0,0,0,1
L-(+)-Lactic Acid,0,0,0,0,1
1-Linoleoyl Glycerol,0,0,0,0,1
L-Histidine,0,0,0,0,1
L-Serine,0,0,0,0,1
Pi(O-5:0_21:0),0,0,0,0,1
Allopurinol,0,0,0,0,1
Tg(O-27:8_21:6),0,0,0,0,1
Hex1cer(D24:2_12:0),0,0,0,0,1
Pc(18:3cho_26:8),0,0,0,0,1
Docosahexaenoic Acid,0,0,0,0,1
Pe 18:0_24:5,0,0,0,0,1
"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",0,0,0,0,1
Carnosine,0,0,0,0,1
Xanthosine 5'-Monophosphate,0,0,0,0,1
L-Glutathione (Reduced),0,0,0,0,1
9-Methoxy-9-Oxononanoic Acid,0,0,0,0,1
Tg(29:3cooh_2:0),0,0,0,0,1
Piperine,0,0,0,0,1
1-Stearoylglycerol,0,0,0,0,1
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Pe 20:2_20:2,0,0,0,0,1
Xanthine,0,0,0,0,1
Ps(22:0_22:4),0,0,0,0,1
Ps(19:1_17:2),0,0,0,0,1
(2r)-3-Hydroxyisovaleroylcarnitine,0,0,0,0,1
Ps(24:2_20:5),0,0,0,0,1
5'-Cytidylic Acid,0,0,0,0,1
Inosine,0,0,0,0,1
3-Hydroxy-1-Methyl-3-(2-Oxopropyl)Indol-2-One,0,0,0,0,1
Cyclic Adp-Ribose,0,0,0,0,1
L-Isoleucine,0,0,0,0,1
N-Acetyl-D-Glucosamine 6-Phosphate,0,0,0,0,1
Dl-Valine,0,0,0,0,1
Opeo,0,0,0,0,1
L-Aspartic Acid,0,0,0,0,1
Pc(22:5cooh_25:8),0,0,0,0,1
L-Threonine,0,0,0,0,1
Dl-Alanine,0,0,0,0,1
Gdp-L-Fucose,0,0,0,0,1
"Octadecyl 3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propionate",0,0,0,0,1
Ganglioside-Gm1(D18:1/18:0),0,0,0,0,1
Cerp(D18:0_20:3),0,0,0,0,1
Ophthalmate,0,0,0,0,1
L-Pipecolinic Acid,0,0,0,0,1
Udp-Β-D-Glucose (Sodium Salt),0,0,0,0,1
D-Gluconic Acid,0,0,0,0,1
Guanosine 5'-Diphosphate (Gdp),0,0,0,0,1
L-Phenylalanine,0,0,0,0,1
Pc(19:1_15:0),0,0,0,0,1
Pc(17:4cooh_23:5),0,0,0,0,1
Linoleic Acid,0,0,0,0,1
Dl-Glutamine,0,0,0,0,1
O-Acetylserine,0,0,0,0,1
Pseudouridine,0,0,0,0,1
"N3,N4-Dimethyl-L-Arginine",0,0,0,0,1
Lpc(23:5),0,0,0,0,1
Pi(22:0_12:1),0,0,0,0,1
Hypaphorine,0,0,0,0,1
Meglumine,0,0,0,0,1
D-Arginine,0,0,0,0,1
Ps(17:1_29:3),0,0,0,0,1
Pi(20:4_20:4),0,0,0,0,1
D-Erythro-Sphinganine,0,0,0,0,1
Adenosine 3'5'-Cyclic Monophosphate,0,0,0,0,1
D-Pantothenic Acid,0,0,0,0,1
5-Methylcytidine,0,0,0,0,1
Diethyl Phosphate,0,0,0,0,1
Asp-Asp,0,0,0,0,1
Pe(16:1_20:4),0,0,0,0,1
1-Methyladenosine,0,0,0,0,1
Tg(32:4cooh_12:0),0,0,0,0,1
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0,0,0,0,1
Lpc(23:6),0,0,0,0,1
Dg(25:3_25:7),0,0,0,0,1
Palmitoyl Sphingomyelin,0,0,0,0,1
Pe(O-14:0_32:0),0,0,0,0,1
Pe(18:0_20:4),0,0,0,0,1
Dihydronicotinamide-Adenine Dinucleotide,0,0,0,0,1
Adenine,0,0,0,0,1
Ethyl 3-Oxo-3-(1h-Pyrazol-5-Ylamino)Propanoate,0,0,0,0,1
Sb01966,0,0,0,0,1
Ketamine,0,0,0,0,1
L-Ascorbic Acid,0,0,0,0,1
D-Ribose 5-Phosphate,0,0,0,0,1
Penicillin G,0,0,0,0,1
"16-Hydroxycleroda-3,13-Dien-15,16-Olide",0,0,0,0,1
Gly-Asp,0,0,0,0,1
Pc(21:1cooh_23:6),0,0,0,0,1
Isobutyric Acid,0,0,0,0,1
Miltefosine,0,0,0,0,1
3-[(2-Hydroxyethyl)Amino]-1-Propanol,0,0,0,0,1
Geranylgeranylacetone,0,0,0,0,1
Uric Acid,0,0,0,0,1
Pc(14:1_28:3),0,0,0,0,1
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Ps(23:2_21:0),0,0,0,0,1
Tg(39:10_9:2cho),0,0,0,0,1
Dl-Dipalmitoylphosphatidylcholine,0,0,0,0,1
Pc(19:1cooh_23:3),0,0,0,0,1
Tg(18:1_3:0_4:0cooh),0,0,0,0,1
Uridine 5'-Diphosphoglucuronic Acid,0,0,0,0,1
(R)-Butyrylcarnitine,0,0,0,0,1
Pro-Glu,0,0,0,0,1
Pc(19:2cooh_21:6),0,0,0,0,1
Glycerophosphocholine,0,0,0,0,1
Pe 16:1_16:1,0,0,0,0,1
Asp-Phe,0,0,0,0,1
Tg(15:0_15:0_24:6),0,0,0,0,1
D-Proline,0,0,0,0,1
Chalcone,0,0,0,0,1
Tg(O-25:8_2:0_19:4),0,0,0,0,1
3-Hydroxybutyric Acid,0,0,0,0,1
"Ne,Ne,Ne-Trimethyllysine",0,0,0,0,1
"1,2-Dimyristoyl-Sn-Glycero-3-Pc",0,0,0,0,1
2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,0,0,0,0,1
Ps(23:4_21:5),0,0,0,0,1
Pc(30:8_11:3cooh),0,0,0,0,1
Dihydroxyacetone Phosphate,0,0,0,0,1
Glu-Glu-Glu,0,0,0,0,1
Pe 16:0_22:5,0,0,0,0,1
Dgdg(6:0_28:2),0,0,0,0,1
Peg N11,0,0,0,0,1
Pc(6:0cooh_30:1),0,0,0,0,1
Pc(28:1_21:0cooh),0,0,0,0,1
Ppg N4,0,0,0,0,1
Oahfa(15:1_27:4),0,0,0,0,1
Pc(19:5cooh_25:8),0,0,0,0,1
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
Cytidine,0,0,0,0,1
Pc(P-12:1_26:4),0,0,0,0,1
Oleoyl-L-Carnitine,0,0,0,0,1
1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
1-Aminocyclopropanecarboxylic Acid,0,0,0,0,1
Bis(2-Ethylhexyl) Sebacate,0,0,0,0,1
Lpe 34:1,0,0,0,0,1
Vidarabine Phosphate,0,0,0,0,1
Phenylacetylglutamine,0,0,0,0,1
Dg(16:0_16:1),0,0,0,0,1
D-Mannitol 1-Phosphate,0,0,0,0,1
3-Isopropoxypropylamine,0,0,0,0,1
Tg(15:1cooh_24:0),0,0,0,0,1
Hypoxanthtine,0,0,0,0,1
Tg(5:0_15:0cho_28:3),0,0,0,0,1
Pe(26:4_19:6cooh),0,0,0,0,1
Tg(28:6_14:3cho),0,0,0,0,1
Pc(24:6_14:1),0,0,0,0,1
2-Hydroxy-3-Methoxy-4-(1-Methoxypropan-2-Yl)-2h-Furan-5-One,0,0,0,0,1
Pc(20:0_18:1),0,0,0,0,1
Guanosine 5'-Diphospho-Α-D-Mannose,0,0,0,0,1
Anserine,0,0,0,0,1
Cytidine 5'-Diphosphocholine,0,0,0,0,1
Beta-Alanine,0,0,0,0,1
Cocamidopropyl Betaine,0,0,0,0,1
