Name,Correlation_FDR,Correlation_nominal,limma_FDR,limma_nominal
Pi 16:1_20:4,0,1,0,1
Lpi 20:4,0,1,0,1
Pe(16:1_18:1),0,1,0,1
Pe 20:4_22:4,0,1,0,1
Phosphatidylethanolamine 16:1-20:4,0,1,0,1
Pe 14:0_22:6,0,1,0,1
16-Hydroxyhexadecanoic Acid,0,1,0,1
Pe O-18:2_18:1,0,1,0,1
2-Hydroxymyristic Acid,0,1,0,1
"2-[(2s,4ar,8as)-2-Hydroxy-4a-Methyl-8-Methylenedecahydro-2-Naphthalenyl]Acrylic Acid",0,1,0,1
"2,5-Di-Tert-Butylhydroquinone",0,1,0,1
1-Palmitoylglycerol,0,1,0,1
Pc 16:1_16:2,0,1,0,1
"N,N'-Diphenylguanidine",0,1,0,1
Muscone,0,1,0,1
"Octadecyl 3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propionate",0,1,0,1
Octinoxate,0,1,0,1
Cocamidopropyl Betaine,0,1,0,1
2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoethanolamine,0,1,0,1
N-(Octadecanoyl)Sphing-4-Enine-1-Phosphocholine,0,1,0,0
"1,2-Dilinoleoyl-Sn-Glycero-3-Phosphoethanolamine",0,1,0,1
Methasterone,0,1,0,1
Pe O-28:2_7:0,0,1,0,1
Pe O-18:2_22:6,0,1,0,0
Monolaurin,0,1,0,1
Pc O-34:2,0,1,0,1
Stearoyl-L-Carnitine,0,1,0,1
(R)-Ketamine,0,1,0,1
Ps 16:4_26:4,0,1,0,1
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,0,1,0,1
Pe 20:2_22:6,0,1,0,1
Spectral Match To 1-Hexadecylpyridinium From Nist14,0,1,0,1
"(Z,E)-Tetradeca-9,12-Dienol",0,1,0,1
Pe O-16:1_18:1,0,1,0,0
Pe O-26:3_13:1,0,1,0,1
Dibutyl Sebacate,0,1,0,1
Pc 10:0_21:2,0,1,0,1
Lpe O-18:1,0,1,0,1
Pe(18:0_20:4),0,1,0,1
"1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine",0,1,0,1
"7,9-Di-Tert-Butyl-1-Oxaspiro[4.5]Deca-6,9-Diene-2,8-Dione",0,1,0,1
Pe 22:5_22:5,0,1,0,1
Lpc 20:1-Sn1,0,1,0,1
Lpe 22:3,0,1,0,1
Terpestacin,0,1,0,1
3-Oxo-4-Cholestenoic Acid,0,1,0,1
Pe O-28:3_9:0,0,1,0,1
"7,9-Dihydroxy-3,6-Dimethyl-10-Methylenedecahydrocyclodeca[B]Furan-2(3h)-One",0,1,0,1
Pebulate,0,1,0,1
2-Hydroxypropyl Stearate,0,1,0,1
Pc 21:2_21:2,0,1,0,1
Pc 15:0_22:2,0,1,0,1
Lpc 32:5-Sn1,0,1,0,1
"Trans-4'-Ethyl-(1,1'-Bicyclohexyl)-4-Carboxylic Acid",0,1,0,1
Pe(18:0_22:6),0,1,0,1
3-Epilupeol,0,1,0,1
"7a-Acetyl-3,4,4a,7a-Tetrahydro-4a-Hydroxy-2,6,7-Trimethyl-2-(4,8,12-Trimethyltridecyl)Cyclopenta[B]Pyran-5(2h)-One",0,1,0,1
Pc O-34:0,0,1,0,1
Lpe 24:4,0,1,0,1
Panaxadiol,0,1,0,1
Lpc 22:3-Sn1,0,1,0,1
"1-(3-Ethyl-2,4-Dihydroxy-6-Methoxyphenyl)-1-Butanone",0,1,0,1
Stigmastadienone,0,1,0,1
Norgestrel,0,1,0,1
1-Aminocyclohexanecarboxylic Acid,0,0,0,1
"1,4-Anhydro-6-O-[(9z)-9-Octadecenoyl]-D-Glucitol",0,0,0,1
Pe 40:5,0,0,0,1
Cmp,0,0,0,1
Heneicosanoic Acid,0,0,0,1
"2-Amino-1,3,4-Octadecanetriol",0,0,0,1
Monoerucin,0,0,0,1
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0,0,0,1
Nicotinamide Adenine Dinucleotide (Nad+),0,0,0,1
