Name,Wilcoxon_FDR,Wilcoxon_nominal,limma_FDR,limma_nominal,PLSDA_VIP
Pe(19:4_19:4),0,0,0,0,1
Pc(19:2cooh_21:6),0,0,0,0,1
Ps(24:2_20:5),0,0,0,0,1
Pe(17:5cho_22:6),0,0,0,0,1
Pc O-42:6,0,0,0,0,1
1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
Pg(20:4_24:8),0,0,0,0,1
L(+)-Ornithine,0,0,0,0,1
Arachidonic Acid,0,0,0,0,1
Sphp(D16:2),0,0,0,0,1
Hypoxanthtine,0,0,0,0,1
Pe 21:2_21:2,0,0,0,0,1
Pc(9:0_28:7),0,0,0,0,1
Tg(36:6_4:0),0,0,0,0,1
Oahfa(15:1_25:3),0,0,0,0,1
L-(+)-Lactic Acid,0,0,0,0,1
Gamma-Glu-Glu,0,0,0,0,1
L-Lysine,0,0,0,0,1
Ps(18:3_24:4),0,0,0,0,1
Tg(20:2cho_26:3),0,0,0,0,1
Pc(O-10:0_23:2),0,0,0,0,1
Vitamin D3,0,0,0,0,1
Dgdg(6:0_28:2),0,0,0,0,1
Ps(22:3_24:7),0,0,0,0,1
Pc(32:2_4:0),0,0,0,0,1
Dl-Alanine,0,0,0,0,1
Pet(16:0_27:7),0,0,0,0,1
Prolinamide,0,0,0,0,1
N-Methyl-D-Glucamine,0,0,0,0,1
"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",0,0,0,0,1
2-Oxoadipic Acid,0,0,0,0,1
Biotin,0,0,0,0,1
2-Aminoisobutyric Acid,0,0,0,0,1
N2-Methylguanosine,0,0,0,0,1
Glycerol Monomyristate,0,0,0,0,1
Pc(20:0_18:1),0,0,0,0,1
L-Glutarylcarnitine,0,0,0,0,1
Ps(14:2_29:7),0,0,0,0,1
Pi(O-5:0_21:0),0,0,0,0,1
Methyl Dihydrogen Phosphate,0,0,0,0,1
Pe 16:1_16:1,0,0,0,0,1
Pc(20:3_25:5),0,0,0,0,1
Cyclic Adp-Ribose,0,0,0,0,1
Cystathionine,0,0,0,0,1
L-Glutathione (Reduced),0,0,0,0,1
Glycerophosphocholine,0,0,0,0,1
Octanedioic Acid,0,0,0,0,1
Pc(22:3cho_27:6),0,0,0,0,1
Bismepa(18:0_19:1),0,0,0,0,1
Pc(10:0cooh_30:8),0,0,0,0,1
Pc(P-12:1_26:4),0,0,0,0,1
"N,N-Diethylethanolamine",0,0,0,0,1
D-(+)-Tryptophan,0,0,0,0,1
2'-Guanylic Acid,0,0,0,0,1
Phosphocreatine,0,0,0,0,1
Adenosine Triphosphate (Atp),0,0,0,0,1
Pi(16:1_18:3),0,0,0,0,1
Pc(12:1_28:3),0,0,0,0,1
Acetyl-D-Alanine,0,0,0,0,1
Pc(9:0cho_26:1),0,0,0,0,1
Xanthosine 5'-Monophosphate,0,0,0,0,1
Leucine,0,0,0,0,1
Pe 18:0_24:5,0,0,0,0,1
Lpc(20:1),0,0,0,0,1
Cysteinylglycine,0,0,0,0,1
Pc(O-29:1_5:0),0,0,0,0,1
Pro-Asp,0,0,0,0,1
L-(-)-Methionine,0,0,0,0,1
"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",0,0,0,0,1
Isobutyric Acid,0,0,0,0,1
N8-Acetylspermidine,0,0,0,0,1
(R)-Butyrylcarnitine,0,0,0,0,1
D-Tyrosine,0,0,0,0,1
Pc(19:4cho_29:7),0,0,0,0,1
Ser-Ser,0,0,0,0,1
L-Pipecolinic Acid,0,0,0,0,1
L-Glutathione Oxidized,0,0,0,0,1
L-Histidine,0,0,0,0,1
Citrulline,0,0,0,0,1
Cytarabine,0,0,0,0,1
Adenosine,0,0,0,0,1
Uridine 5'-Triphosphate Sodium Salt,0,0,0,0,1
Tg(11:0_9:2cho_26:8),0,0,0,0,1
"16-Hydroxycleroda-3,13-Dien-15,16-Olide",0,0,0,0,1
Tg(O-27:8_21:6),0,0,0,0,1
"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",0,0,0,0,1
Hypotaurine,0,0,0,0,1
Ps(17:1_29:3),0,0,0,0,1
Pi 38:6,0,0,0,0,1
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
Tg(15:1cho_15:2),0,0,0,0,1
Cytidine,0,0,0,0,1
1-Stearoylglycerol,0,0,0,0,1
Ps(23:4_21:5),0,0,0,0,1
Udp-N-Acetylglucosamine,0,0,0,0,1
Glucose 1-Phosphate,0,0,0,0,1
Pe(26:4_19:6cooh),0,0,0,0,1
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Pe(21:4cooh_24:6),0,0,0,0,1
Glycerol Monooleate,0,0,0,0,1
D-Histidine Methyl Ester,0,0,0,0,1
"N2-[5-Phenyl-4-(Trifluoromethyl)-1,3-Thiazol-2-Yl]Thiophene-2-Carboxamide",0,0,0,0,1
Ps(22:0_22:4),0,0,0,0,1
1-Methylhistidine,0,0,0,0,1
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0,0,0,0,1
Pe(22:3_26:5),0,0,0,0,1
Dg(20:4_22:5),0,0,0,0,1
"1,2-Dimyristoyl-Sn-Glycero-3-Pc",0,0,0,0,1
Creatinine,0,0,0,0,1
Sb01966,0,0,0,0,1
Pe 16:0_22:5,0,0,0,0,1
Pc(O-24:5_10:0),0,0,0,0,1
Pa(29:1_20:6),0,0,0,0,1
Adenosine 3'5'-Cyclic Monophosphate,0,0,0,0,1
Pc(21:1cooh_23:6),0,0,0,0,1
Lpc(23:5),0,0,0,0,1
Asp-Pro-Asn,0,0,0,0,1
Pe(16:1_20:4),0,0,0,0,1
Uridine 5'-Diphosphoglucuronic Acid,0,0,0,0,1
Tg(29:3cooh_2:0),0,0,0,0,1
2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,0,0,0,0,1
Pe 20:2_20:2,0,0,0,0,1
Ps(16:1_26:4),0,0,0,0,1
"D,L-Serine",0,0,0,0,1
Sarcosine,0,0,0,0,1
Pc(18:3cho_26:8),0,0,0,0,1
Pc(20:2_21:4),0,0,0,0,1
Bmp 22:5_22:6,0,0,0,0,1
Oleoyl-L-Carnitine,0,0,0,0,1
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,0,0,0,0,1
Spongouridin,0,0,0,0,1
3-Hydroxy-1-Methyl-3-(2-Oxopropyl)Indol-2-One,0,0,0,0,1
Asp-Leu,0,0,0,0,1
Ps(20:1_24:6),0,0,0,0,1
