"","transcriptId","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","distanceToTSS","entrezgene_id","hgnc_symbol"
"22","ENST00000234301.3","chr2",42361270,42361618,349,"*","Promoter (<=1kb)",2,42349338,42361217,11880,2,"9167",-53,9167,"COX7A2L"
"23","ENST00000234626.11","chr1",91500806,91501064,259,"*","Promoter (<=1kb)",1,91500851,91525764,24914,1,"8317",0,8317,"CDC7"
"24","ENST00000235150.5","chr1",32974183,32974714,532,"*","Exon (ENST00000633169.1/ENST00000633169.1, exon 1 of 1)",1,32936449,32964809,28361,2,"127544",-9374,127544,"RNF19B"
"25","ENST00000241071.11","chr7",100586205,100586501,297,"*","Promoter (<=1kb)",7,100586328,100601117,14790,1,"26261",0,26261,"FBXO24"
"26","ENST00000242108.9","chr7",36152668,36152926,259,"*","Promoter (<=1kb)",7,36153254,36301538,148285,1,"80820",-328,80820,"EEPD1"
"27","ENST00000242776.9","chr19",14419111,14419392,282,"*","Promoter (<=1kb)",19,14408798,14419341,10544,2,"10212",0,10212,"DDX39A"
"28","ENST00000244520.10","chr6",34757420,34757703,284,"*","Promoter (<=1kb)",6,34757505,34773857,16353,1,"6631",0,6631,"SNRPC"
"29","ENST00000244820.2","chr2",237030758,237030978,221,"*","Intron (ENST00000662924.1/105373951, intron 1 of 2)",2,237048599,237056167,7569,2,"93463",25189,93463,""
"30","ENST00000246421.4","chr1",1746234,1746712,479,"*","Promoter (<=1kb)",1,1732242,1745992,13751,2,"9906",-242,NA,""
"31","ENST00000246868.7","chr7",66995353,66995589,237,"*","Promoter (<=1kb)",7,66987680,66995586,7907,2,"51119",0,51119,"SBDS"
"32","ENST00000246912.8","chr17",42567019,42567329,311,"*","Promoter (<=1kb)",17,42567072,42573239,6168,1,"6945",0,6945,"MLX"
"33","ENST00000248633.9","chr7",92528465,92529067,603,"*","Promoter (<=1kb)",7,92487025,92528520,41496,2,"5189",0,5189,"PEX1"
"34","ENST00000250693.2","chr11",3654120,3654668,549,"*","Intron (ENST00000529556.1/417, intron 1 of 3)",11,3645128,3664416,19289,1,"417",8992,417,"ART1"
"35","ENST00000252136.12","chr22",20117012,20117424,413,"*","Promoter (<=1kb)",22,20111875,20117226,5352,2,"27037",0,27037,"TRMT2A"
"36","ENST00000252505.4","chr2",3651142,3651700,559,"*","Exon (ENST00000691818.1/ENST00000691818.1, exon 1 of 1)",2,3658200,3702671,44472,1,"55821",-6500,55821,"ALLC"
"37","ENST00000253047.7","chr19",47048012,47048568,557,"*","Promoter (<=1kb)",19,47045909,47048624,2716,2,"54958",56,54958,"TMEM160"
"38","ENST00000253928.14","chr16",2905458,2905992,535,"*","Distal Intergenic",16,2911931,2951208,39278,1,"84256",-5939,84256,"FLYWCH1"
"39","ENST00000254322.3","chr19",14518191,14518945,755,"*","Promoter (<=1kb)",19,14514769,14518397,3629,2,"3337",0,3337,"DNAJB1"
"40","ENST00000256460.8","chr3",9769796,9770061,266,"*","Promoter (<=1kb)",3,9757347,9769947,12601,2,"8536",0,8536,"CAMK1"
"41","ENST00000258399.8","chr2",218568169,218568592,424,"*","Promoter (<=1kb)",2,218450251,218568351,118101,2,"57695",0,57695,"USP37"
"42","ENST00000258772.10","chr7",44573904,44574132,229,"*","Promoter (<=1kb)",7,44565804,44573908,8105,2,"54606",0,54606,"DDX56"
"43","ENST00000259229.7","chr2",130341878,130342385,508,"*","Promoter (<=1kb)",2,130337933,130342164,4232,2,"84317",0,84317,"CCDC115"
"44","ENST00000261835.8","chr14",99683970,99684299,330,"*","Promoter (<=1kb)",14,99684298,99727301,43004,1,"10858",0,10858,"CYP46A1"
"45","ENST00000262320.8","chr16",352745,353226,482,"*","Promoter (<=1kb)",16,287440,352723,65284,2,"8312",-22,8312,"AXIN1"
"46","ENST00000262719.10","chr18",62715251,62715507,257,"*","Promoter (<=1kb)",18,62715541,62980433,264893,1,"23239",-34,23239,"PHLPP1"
"47","ENST00000262812.9","chr19",18919386,18919855,470,"*","Promoter (<=1kb)",19,18899514,18919387,19874,2,"11316",0,11316,"COPE"
"48","ENST00000262932.5","chr7",100119389,100119811,423,"*","Promoter (<=1kb)",7,100119634,100125508,5875,1,"245812",0,245812,"CNPY4"
"49","ENST00000262962.12","chr19",4247392,4247685,294,"*","Promoter (<=1kb)",19,4247080,4269088,22009,1,"55702",312,55702,"YJU2"
"50","ENST00000262962.12","chr19",4247015,4247316,302,"*","Promoter (<=1kb)",19,4247080,4269088,22009,1,"55702",0,55702,"YJU2"
"51","ENST00000262971.3","chr19",4007292,4007569,278,"*","Promoter (<=1kb)",19,4007736,4039386,31651,1,"51588",-167,51588,"PIAS4"
"52","ENST00000262971.3","chr19",4007272,4007675,404,"*","Promoter (<=1kb)",19,4007736,4039386,31651,1,"51588",-61,51588,"PIAS4"
"53","ENST00000263026.10","chr16",22190677,22191313,637,"*","3' UTR",16,22206278,22288738,82461,1,"29904",-14965,29904,"EEF2K"
"54","ENST00000263847.6","chr11",59615796,59616174,379,"*","Promoter (<=1kb)",11,59574398,59615774,41377,2,"5007",-22,5007,"OSBP"
"55","ENST00000263857.11","chr2",86105716,86106170,455,"*","Promoter (<=1kb)",2,86020216,86105886,85671,2,"25885",0,25885,"POLR1A"
"56","ENST00000264039.7","chr2",240354514,240354842,329,"*","Distal Intergenic",2,240435663,240468076,32414,1,"2817",-80821,2817,"GPC1"
"57","ENST00000264039.7","chr2",240308253,240308591,339,"*","Distal Intergenic",2,240435663,240468076,32414,1,"2817",-127072,2817,"GPC1"
"58","ENST00000264042.8","chr2",241355536,241356093,558,"*","Promoter (<=1kb)",2,241356285,241494841,138557,1,"9855",-192,9855,"FARP2"
"59","ENST00000264159.11","chr2",135531019,135531422,404,"*","Promoter (<=1kb)",2,135196969,135531218,334250,2,"84083",0,84083,"ZRANB3"
"60","ENST00000264254.11","chr2",100562962,100563196,235,"*","Promoter (<=1kb)",2,100562993,100576739,13747,1,"79031",0,79031,"PDCL3"
"61","ENST00000264552.14","chr19",55407827,55408314,488,"*","Promoter (<=1kb)",19,55399745,55407788,8044,2,"27338",-39,27338,"UBE2S"
"62","ENST00000265192.9","chr5",139341727,139342191,465,"*","Promoter (<=1kb)",5,139341854,139369717,27864,1,"51247",0,51247,"PAIP2"
"63","ENST00000265462.9","chr11",64317685,64318035,351,"*","Promoter (<=1kb)",11,64318121,64321811,3691,1,"25824",-86,25824,"PRDX5"
"64","ENST00000265857.8","chr7",876275,876631,357,"*","Promoter (<=1kb)",7,876554,896436,19883,1,"51608",0,51608,"GET4"
"65","ENST00000266304.9","chr22",41381344,41381802,459,"*","Promoter (<=1kb)",22,41381942,41399326,17385,1,"7008",-140,7008,"TEF"
"66","ENST00000267015.4","chr12",54359117,54359342,226,"*","Exon (ENST00000701087.1/ENST00000701087.1, exon 1 of 1)",12,54362445,54364486,2042,2,"53831",5144,53831,"GPR84"
"67","ENST00000268717.10","chr17",17280838,17281315,478,"*","Promoter (<=1kb)",17,17246616,17281246,34631,2,"8533",0,8533,"COPS3"
"68","ENST00000268719.9","chr17",18039280,18039650,371,"*","Promoter (<=1kb)",17,18039408,18068405,28998,1,"79018",0,79018,"GID4"
"69","ENST00000270538.8","chr19",7943661,7944070,410,"*","Promoter (<=1kb)",19,7926718,7943666,16949,2,"10469",0,10469,"TIMM44"
"70","ENST00000270642.9","chr19",51310903,51311128,226,"*","Promoter (<=1kb)",19,51311644,51330891,19248,1,"402665",-516,402665,"IGLON5"
"71","ENST00000273375.8","chr3",120742262,120742646,385,"*","Promoter (<=1kb)",3,120684938,120742516,57579,2,"285282",0,285282,"RABL3"
"72","ENST00000276569.8","chr8",65634013,65634358,346,"*","Promoter (<=1kb)",8,65602458,65634177,31720,2,"55156",0,55156,"ARMC1"
"73","ENST00000279067.3","chr20",64287022,64287347,326,"*","Intron (ENST00000299468.12/55251, intron 5 of 7)",20,64290385,64303559,13175,1,"107126285",-3038,NA,""
"74","ENST00000283206.9","chr2",112054527,112055251,725,"*","Promoter (<=1kb)",2,112055269,112119314,64046,1,"84910",-18,84910,"TMEM87B"
"75","ENST00000285082.8","chr3",16264676,16264934,259,"*","Promoter (<=1kb)",3,16259910,16264777,4868,2,"285381",0,285381,"DPH3"
"76","ENST00000287078.7","chr10",70146750,70147062,313,"*","Promoter (<=1kb)",10,70137981,70146700,8720,2,"219743",-50,219743,"TYSND1"
"77","ENST00000287322.5","chr8",38177053,38177273,221,"*","Promoter (<=1kb)",8,38176855,38213301,36447,1,"9530",198,9530,"BAG4"
"78","ENST00000288462.4","chr9",113410240,113410839,600,"*","Promoter (<=1kb)",9,113410742,113429684,18943,1,"257169",0,257169,"C9orf43"
"79","ENST00000289528.10","chr2",219206721,219207024,304,"*","Promoter (<=1kb)",2,219206782,219209648,2867,1,"130617",0,130617,"ZFAND2B"
"80","ENST00000290079.9","chr9",136790820,136791176,357,"*","Promoter (<=1kb)",9,136791344,136793317,1974,1,"85014",-168,85014,"TMEM141"
"81","ENST00000292614.10","chr7",102478931,102479218,288,"*","Promoter (<=1kb)",7,102473128,102478922,5795,2,"5439",-9,5439,"POLR2J"
"82","ENST00000292894.2","chr19",36053862,36054762,901,"*","Promoter (<=1kb)",19,36034984,36054285,19302,2,"199745",0,199745,"THAP8"
"83","ENST00000293981.10","chr16",2882497,2883180,684,"*","Promoter (<=1kb)",16,2883213,2899382,16170,1,"114984",-33,114984,"FLYWCH2"
"84","ENST00000296564.9","chr5",5422385,5422639,255,"*","Promoter (<=1kb)",5,5422677,5490220,67544,1,"23379",-38,23379,"ICE1"
"85","ENST00000296785.8","chr5",73565473,73565839,367,"*","Promoter (<=1kb)",5,73552190,73565639,13450,2,"57763",0,57763,"ANKRA2"
"86","ENST00000296824.4","chr5",218069,218314,246,"*","Promoter (<=1kb)",5,196868,218153,21286,2,"133957",0,133957,"CCDC127"
"87","ENST00000296933.10","chr5",172006872,172007149,278,"*","Promoter (<=1kb)",5,171861549,172006873,145325,2,"23291",0,23291,"FBXW11"
"88","ENST00000299138.12","chr16",46689122,46689587,466,"*","Promoter (<=1kb)",16,46656132,46689178,33047,2,"55737",0,55737,"VPS35"
"89","ENST00000300849.5","chr16",31073303,31074306,1004,"*","Promoter (<=1kb)",16,31060847,31074240,13394,2,"79759",0,79759,"ZNF668"
"90","ENST00000301328.9","chr17",782024,782306,283,"*","Promoter (<=1kb)",17,759330,782279,22950,2,"51031",0,51031,"GLOD4"
"91","ENST00000302165.5","chr19",45886438,45886773,336,"*","Promoter (<=1kb)",19,45883608,45886141,2534,2,"26145",-297,26145,"IRF2BP1"
"92","ENST00000302174.9","chr4",87422529,87422827,299,"*","Promoter (<=1kb)",4,87422573,87459455,36883,1,"53343",0,53343,"NUDT9"
"93","ENST00000302386.10","chr17",7242575,7243089,515,"*","Promoter (<=1kb)",17,7240008,7242449,2442,2,"11337",-126,11337,"GABARAP"
"94","ENST00000303227.11","chrX",48737379,48737635,257,"*","Distal Intergenic",23,48761747,48773648,11902,1,"392465",-24112,392465,"GLOD5"
"95","ENST00000303887.10","chr7",100100992,100101857,866,"*","Promoter (<=1kb)",7,100092728,100101397,8670,2,"4176",0,4176,"MCM7"
"96","ENST00000304734.9","chr6",42879667,42879981,315,"*","Promoter (<=1kb)",6,42879682,42889925,10244,1,"285855",0,285855,"RPL7L1"
"97","ENST00000305784.7","chr2",241686747,241687047,301,"*","Promoter (<=1kb)",2,241675747,241686815,11069,2,"1841",0,1841,"DTYMK"
"98","ENST00000307750.5","chr9",37465497,37465748,252,"*","Promoter (<=1kb)",9,37438102,37465450,27349,2,"9925",-47,9925,"ZBTB5"
"99","ENST00000308436.11","chr11",62591634,62592312,679,"*","Promoter (<=1kb)",11,62575045,62591637,16593,2,"64852",0,64852,"TUT1"
"100","ENST00000308448.11","chr10",87818038,87818236,199,"*","Promoter (<=1kb)",10,87751512,87818160,66649,2,"84896",0,84896,"ATAD1"
"101","ENST00000310045.9","chr18",67516789,67517207,419,"*","Promoter (<=1kb)",18,67506587,67516720,10134,2,"92126",-69,92126,"DSEL"
"102","ENST00000310597.6","chr11",65117804,65118053,250,"*","Promoter (<=1kb)",11,65116403,65117701,1299,2,"741",-103,741,"ZNHIT2"
"103","ENST00000310931.10","chr2",241315212,241315772,561,"*","Promoter (<=1kb)",2,241227291,241315672,88382,2,"3069",0,3069,"HDLBP"
"104","ENST00000311403.4","chr17",7483723,7484061,339,"*","Promoter (<=1kb)",17,7459366,7484263,24898,2,"57659",202,57659,"ZBTB4"
"105","ENST00000311549.11","chr13",27251380,27251715,336,"*","Promoter (<=1kb)",13,27251558,27256568,5011,1,"6144",0,6144,"RPL21"
"106","ENST00000315073.10","chr5",181223230,181223574,345,"*","Promoter (<=1kb)",5,181223281,181235808,12528,1,"90933",0,90933,"TRIM41"
"107","ENST00000317060.4","chr19",12977991,12978242,252,"*","Distal Intergenic",19,12969576,12974760,5185,1,"199699",8415,199699,"DAND5"
"108","ENST00000317198.10","chr8",143597213,143597699,487,"*","Promoter (<=1kb)",8,143579697,143597388,17692,2,"1936",0,1936,"EEF1D"
"109","ENST00000317243.10","chr19",2818066,2818480,415,"*","Promoter (1-2kb)",19,2819868,2836735,16868,1,"115196",-1388,115196,"ZNF554"
"110","ENST00000317943.6","chr12",50111806,50112107,302,"*","Promoter (<=1kb)",12,50112082,50120451,8370,1,"84987",0,84987,"COX14"
"111","ENST00000320330.8","chr16",29815959,29816223,265,"*","Promoter (<=1kb)",16,29816152,29822489,6338,1,"79447",0,79447,"PAGR1"
"112","ENST00000321337.12","chr17",7561093,7561516,424,"*","Promoter (<=1kb)",17,7561919,7571969,10051,1,"26168",-403,26168,"SENP3"
"113","ENST00000321679.4","chr2",241590480,241590634,155,"*","Intron (ENST00000402136.5/51078, intron 4 of 4)",2,241584420,241602170,17751,2,"51078",11536,51078,"THAP4"
"114","ENST00000321998.10","chr16",19067532,19067880,349,"*","Promoter (<=1kb)",16,19067614,19080095,12482,1,"10229",0,10229,"COQ7"
"115","ENST00000322217.6","chr19",45902898,45903151,254,"*","Promoter (<=1kb)",19,45890023,45902613,12591,2,"339344",-285,339344,"MYPOP"
"116","ENST00000322347.11","chr15",74937907,74938108,202,"*","Promoter (<=1kb)",15,74919791,74938073,18283,2,"9377",0,9377,"COX5A"
"117","ENST00000323039.10","chr19",39833936,39834222,287,"*","Promoter (<=1kb)",19,39825350,39834162,8813,2,"9149",0,9149,"DYRK1B"
"118","ENST00000323039.10","chr19",39833723,39834217,495,"*","Promoter (<=1kb)",19,39825350,39834162,8813,2,"9149",0,9149,"DYRK1B"
"119","ENST00000323456.9","chr17",58518535,58518750,216,"*","Promoter (<=1kb)",17,58489537,58517905,28369,2,"9110",-630,9110,"MTMR4"
"120","ENST00000323927.3","chr9",137188304,137189056,753,"*","Promoter (<=1kb)",9,137174784,137188560,13777,2,"29882",0,29882,"ANAPC2"
"121","ENST00000324787.10","chr7",141014733,141015013,281,"*","Promoter (<=1kb)",7,141002610,141014952,12343,2,"51650",0,51650,"MRPS33"
"122","ENST00000325192.8","chr14",44897170,44897435,266,"*","Promoter (<=1kb)",14,44897275,44907257,9983,1,"122525",0,122525,"C14orf28"
"123","ENST00000325351.5","chr19",55624300,55624663,364,"*","Promoter (<=1kb)",19,55620741,55624566,3826,2,"147808",0,147808,"ZNF784"
"124","ENST00000326153.10","chrX",318619,318919,301,"*","Promoter (<=1kb)",23,304759,318796,14038,2,"8225",0,8225,"GTPBP6"
"125","ENST00000326775.10","chr7",99504411,99505174,764,"*","Promoter (<=1kb)",7,99504662,99534700,30039,1,"23660",0,23660,"ZKSCAN5"
"126","ENST00000327064.9","chr19",10870958,10871176,219,"*","Promoter (<=1kb)",19,10871553,10923075,51523,1,"10498",-377,10498,"CARM1"
"127","ENST00000327158.5","chr17",996858,997062,205,"*","Promoter (<=1kb)",17,997129,1003671,6543,1,"29928",-67,29928,"TIMM22"
"128","ENST00000328345.8","chr6",98834216,98834535,320,"*","Promoter (<=1kb)",6,98834574,98839458,4885,1,"5454",-39,5454,"POU3F2"
"129","ENST00000330133.5","chr19",3762614,3762945,332,"*","Promoter (<=1kb)",19,3762682,3767565,4884,1,"116541",0,116541,"MRPL54"
"130","ENST00000330205.10","chr21",46184448,46184757,310,"*","Promoter (<=1kb)",21,46161148,46184476,23329,2,"84221",0,84221,"SPATC1L"
"131","ENST00000330388.2","chr1",1249152,1249401,250,"*","Promoter (2-3kb)",1,1242453,1246722,4270,2,"388581",-2430,388581,"C1QTNF12"
"132","ENST00000332235.8","chr19",404206,404407,202,"*","Distal Intergenic",19,405445,409147,3703,2,"126567",4740,126567,"C2CD4C"
"133","ENST00000332556.5","chr13",113296828,113297273,446,"*","Promoter (<=1kb)",13,113297239,113323672,26434,1,"3916",0,3916,"LAMP1"
"134","ENST00000333503.8","chr16",2215153,2215477,325,"*","Promoter (<=1kb)",16,2211593,2214840,3248,2,"283871",-313,283871,"PGP"
"135","ENST00000334181.5","chr19",57435237,57435514,278,"*","Promoter (<=1kb)",19,57435325,57447101,11777,1,"388567",0,388567,"ZNF749"
"136","ENST00000336053.10","chr14",21269574,21269804,231,"*","Promoter (<=1kb)",14,21209136,21269494,60359,2,"3183",-80,3183,"HNRNPC"
"137","ENST00000336452.11","chr17",7306868,7307551,684,"*","Promoter (<=1kb)",17,7306999,7312463,5465,1,"1984",0,1984,"EIF5A"
"138","ENST00000337392.10","chr19",44954841,44955313,473,"*","Promoter (<=1kb)",19,44955380,44993341,37962,1,"1209",-67,1209,"CLPTM1"
"139","ENST00000338121.10","chr20",23361899,23362324,426,"*","Promoter (<=1kb)",20,23362182,23373062,10881,1,"64412",0,64412,"GZF1"
"140","ENST00000338183.8","chr15",36627102,36627343,242,"*","Exon (ENST00000564073.1/ENST00000564073.1, exon 1 of 1)",15,36640605,36810231,169627,1,"84529",-13262,84529,"CDIN1"
"141","ENST00000338338.10","chr1",1375297,1375539,243,"*","Promoter (<=1kb)",1,1373736,1375207,1472,2,"54998",-90,54998,"AURKAIP1"
"142","ENST00000339594.9","chr7",73522344,73522651,308,"*","Promoter (<=1kb)",7,73440406,73522293,81888,2,"9031",-51,9031,"BAZ1B"
"143","ENST00000340932.7","chr19",48619179,48619409,231,"*","Promoter (<=1kb)",19,48619291,48630406,11116,1,"56848",0,56848,"SPHK2"
"144","ENST00000341369.11","chr2",231708165,231708405,241,"*","Promoter (<=1kb)",2,231708516,231713536,5021,1,"5757",-111,5757,"PTMA"
"145","ENST00000342203.8","chr1",84690361,84690633,273,"*","Promoter (<=1kb)",1,84643706,84690461,46756,2,"117178",0,117178,"SSX2IP"
"146","ENST00000344458.6","chr2",219543463,219543828,366,"*","Promoter (<=1kb)",2,219543663,219550579,6917,1,"130612",0,130612,"TMEM198"
"147","ENST00000344795.8","chr20",36605455,36605890,436,"*","Promoter (<=1kb)",20,36605779,36612557,6779,1,"55969",0,55969,"RAB5IF"
"148","ENST00000344843.12","chr1",1407137,1407367,231,"*","Promoter (<=1kb)",1,1401909,1407293,5385,2,"55052",0,55052,"MRPL20"
"149","ENST00000347454.9","chr2",27370270,27370560,291,"*","Promoter (<=1kb)",2,27364352,27370338,5987,2,"8890",0,8890,"EIF2B4"
"150","ENST00000348165.10","chr7",157138621,157138959,339,"*","Promoter (<=1kb)",7,157138926,157269370,130445,1,"9690",0,9690,"UBE3C"
"151","ENST00000351698.5","chr9",129824063,129824299,237,"*","Promoter (<=1kb)",9,129812942,129824136,11195,2,"1861",0,1861,"TOR1A"
"152","ENST00000352066.8","chr19",49929290,49930105,816,"*","Promoter (<=1kb)",19,49906825,49929504,22680,2,"23636",0,23636,"NUP62"
"153","ENST00000354293.10","chr19",49766421,49766933,513,"*","Promoter (<=1kb)",19,49767001,49807114,40114,1,"160",-68,160,"AP2A1"
"154","ENST00000354376.3","chr9",136483147,136483835,689,"*","Promoter (<=1kb)",9,136483495,136486066,2572,1,"158055",0,158055,"C9orf163"
"155","ENST00000354420.7","chr11",507092,507290,199,"*","Promoter (<=1kb)",11,494515,507242,12728,2,"6050",0,6050,"RNH1"
"156","ENST00000354590.7","chr19",58519419,58520014,596,"*","Promoter (<=1kb)",19,58513530,58519554,6025,2,"84878",0,84878,"ZBTB45"
"157","ENST00000354694.12","chr22",30591891,30592296,406,"*","Promoter (<=1kb)",22,30576625,30591910,15286,2,"23481",0,23481,"PES1"
"158","ENST00000354862.4","chr3",50299501,50299814,314,"*","Promoter (<=1kb)",3,50296402,50299416,3015,2,"24142",-85,24142,"NAA80"
"159","ENST00000355057.3","chr6",27824096,27824345,250,"*","Promoter (<=1kb)",6,27824092,27824480,389,1,"8363",4,8363,"H4C11"
"160","ENST00000355938.9","chr17",48892549,48892791,243,"*","Promoter (<=1kb)",17,48892765,48895871,3107,1,"516",0,516,"ATP5MC1"
"161","ENST00000356166.11","chr16",30658197,30658826,630,"*","Promoter (<=1kb)",16,30658431,30670810,12380,1,"64319",0,64319,"FBRS"
"162","ENST00000356396.8","chr21",46228387,46228958,572,"*","Promoter (<=1kb)",21,46188141,46228822,40682,2,"4047",0,4047,"LSS"
"163","ENST00000356456.9","chr12",133080153,133080698,546,"*","Promoter (<=1kb)",12,133080474,133105626,25153,1,"7699",0,7699,"ZNF140"
"164","ENST00000356628.4","chr9",137322974,137323307,334,"*","Intron (ENST00000491734.6/54932, intron 13 of 14)",9,137299631,137302271,2641,2,"441478",-20703,441478,"NRARP"
"165","ENST00000356884.11","chr9",92764983,92765468,486,"*","Promoter (<=1kb)",9,92711363,92764833,53471,2,"23299",-150,23299,"BICD2"
"166","ENST00000357519.9","chr11",65888451,65888691,241,"*","Promoter (<=1kb)",11,65883740,65888471,4732,2,"9158",0,9158,"FIBP"
"167","ENST00000357560.9","chr5",140564419,140565021,603,"*","Promoter (<=1kb)",5,140558268,140564598,6331,2,"10307",0,10307,"APBB3"
"168","ENST00000358368.5","chr19",7629437,7629750,314,"*","Promoter (<=1kb)",19,7619525,7629545,10021,2,"56949",0,56949,"XAB2"
"169","ENST00000358495.8","chr12",949241,949900,660,"*","Promoter (<=1kb)",12,911736,949694,37959,2,"5893",0,5893,"RAD52"
"170","ENST00000358739.5","chr6",27808131,27808486,356,"*","Promoter (<=1kb)",6,27808173,27808667,495,1,"8329",0,8329,"H2AC13"
"171","ENST00000358775.1","chr2",239644585,239644924,340,"*","Distal Intergenic",2,239578301,239586094,7794,1,"401040",66284,401040,"LINC02991"
"172","ENST00000358825.9","chr11",130002606,130002851,246,"*","Promoter (<=1kb)",11,129899706,130002835,103130,2,"56980",0,56980,"PRDM10"
"173","ENST00000358994.9","chr9",129110882,129111149,268,"*","Promoter (<=1kb)",9,129110950,129148944,37995,1,"5524",0,5524,"PTPA"
"174","ENST00000359227.8","chr19",11480959,11481389,431,"*","Promoter (<=1kb)",19,11451326,11481046,29721,2,"1995",0,1995,"ELAVL3"
"175","ENST00000359315.6","chr19",506880,507120,241,"*","Promoter (<=1kb)",19,507497,519654,12158,1,"91978",-377,91978,"TPGS1"
"176","ENST00000359551.6","chr8",144104192,144104506,315,"*","Promoter (<=1kb)",8,144098637,144104237,5601,2,"81858",0,81858,"SHARPIN"
"177","ENST00000359655.9","chr10",69179715,69180191,477,"*","Promoter (<=1kb)",10,69180234,69209093,28860,1,"6832",-43,6832,"SUPV3L1"
"178","ENST00000360187.9","chr12",132956169,132956590,422,"*","Promoter (<=1kb)",12,132918306,132956306,38001,2,"100289635",0,100289635,"ZNF605"
"179","ENST00000360541.10","chr5",138543507,138543745,239,"*","Promoter (<=1kb)",5,138506095,138543236,37142,2,"2107",-271,2107,"ETF1"
"180","ENST00000360605.8","chr19",29900329,29900549,221,"*","Distal Intergenic",19,29923644,30015695,92052,1,"8725",-23095,8725,"URI1"
"181","ENST00000360876.9","chr7",2354431,2354772,342,"*","Promoter (<=1kb)",7,2354827,2380745,25919,1,"8662",-55,8662,"EIF3B"
"182","ENST00000361389.8","chr14",77320932,77321327,396,"*","Promoter (<=1kb)",14,77320996,77331195,10200,1,"2954",0,2954,"GSTZ1"
"183","ENST00000361735.4","chr1",171781188,171781585,398,"*","Promoter (<=1kb)",1,171781660,171797716,16057,1,"51603",-75,51603,"METTL13"
"184","ENST00000363202.1","chr13",112015442,112015847,406,"*","Distal Intergenic",13,112052078,112052138,61,1,"124900341",-36231,124900341,""
"185","ENST00000363299.1","chr1",44731191,44731475,285,"*","Promoter (<=1kb)",1,44731055,44731170,116,2,"26830",-21,NA,"RNU5D-1"
